attack_type,security_tools_used,industry
Phishing,Firewall,Energy
DDoS,Endpoint Detection,Retail
Zero-Day Exploit,Firewall,Finance
SQL Injection,MFA,Healthcare
Zero-Day Exploit,Firewall,Finance
Malware,VPN,Retail
Ransomware,Antivirus,Technology
Brute Force,WAF,Education
DDoS,WAF,Education
Cross-Site Scripting,Firewall,Manufacturing
DDoS,Firewall,Retail
Ransomware,SIEM,Education
Ransomware,Firewall,Retail
Brute Force,Endpoint Detection,Healthcare
Phishing,IDS,Retail
Zero-Day Exploit,VPN,Government
SQL Injection,IDS,Energy
Malware,Endpoint Detection,Retail
Zero-Day Exploit,VPN,Healthcare
Ransomware,IDS,Retail
Brute Force,WAF,Manufacturing
DDoS,MFA,Healthcare
Cross-Site Scripting,MFA,Finance
Zero-Day Exploit,Antivirus,Retail
Zero-Day Exploit,IDS,Education
Phishing,MFA,Education
Ransomware,MFA,Retail
SQL Injection,Endpoint Detection,Education
Phishing,Endpoint Detection,Healthcare
Zero-Day Exploit,Endpoint Detection,Finance
Brute Force,Firewall,Government
Zero-Day Exploit,VPN,Manufacturing
Phishing,MFA,Technology
Zero-Day Exploit,WAF,Government
Brute Force,Firewall,Technology
SQL Injection,Endpoint Detection,Manufacturing
Ransomware,Endpoint Detection,Education
Zero-Day Exploit,SIEM,Technology
Brute Force,WAF,Finance
Brute Force,Antivirus,Education
Brute Force,MFA,Technology
SQL Injection,VPN,Technology
Ransomware,Firewall,Energy
Malware,Antivirus,Healthcare
Brute Force,MFA,Retail
Malware,WAF,Manufacturing
DDoS,Firewall,Finance
Brute Force,Antivirus,Finance
Cross-Site Scripting,VPN,Retail
Cross-Site Scripting,Antivirus,Education
Malware,Antivirus,Education
SQL Injection,Antivirus,Manufacturing
Ransomware,SIEM,Finance
Malware,IDS,Energy
Malware,IDS,Manufacturing
Zero-Day Exploit,Endpoint Detection,Retail
Zero-Day Exploit,VPN,Education
Malware,Antivirus,Retail
Brute Force,SIEM,Government
DDoS,Antivirus,Finance
Brute Force,Firewall,Technology
Ransomware,SIEM,Healthcare
Malware,Firewall,Healthcare
Zero-Day Exploit,SIEM,Government
Phishing,Firewall,Energy
Zero-Day Exploit,WAF,Manufacturing
Phishing,MFA,Finance
DDoS,IDS,Finance
Cross-Site Scripting,VPN,Healthcare
Cross-Site Scripting,WAF,Finance
Zero-Day Exploit,SIEM,Technology
DDoS,Antivirus,Retail
Brute Force,WAF,Government
Cross-Site Scripting,Firewall,Retail
Ransomware,SIEM,Government
Zero-Day Exploit,VPN,Technology
Brute Force,MFA,Education
Cross-Site Scripting,Antivirus,Technology
Ransomware,Antivirus,Technology
Malware,VPN,Retail
SQL Injection,IDS,Healthcare
Zero-Day Exploit,WAF,Manufacturing
Ransomware,VPN,Education
DDoS,Firewall,Healthcare
Brute Force,Endpoint Detection,Retail
Brute Force,Endpoint Detection,Education
Malware,Firewall,Technology
SQL Injection,VPN,Retail
Malware,Endpoint Detection,Retail
Malware,VPN,Energy
Brute Force,IDS,Healthcare
Cross-Site Scripting,VPN,Finance
Cross-Site Scripting,WAF,Energy
Malware,Antivirus,Government
Brute Force,Antivirus,Education
Zero-Day Exploit,Firewall,Manufacturing
SQL Injection,IDS,Healthcare
DDoS,WAF,Technology
Ransomware,Antivirus,Government
Cross-Site Scripting,WAF,Energy
Phishing,Firewall,Government
Zero-Day Exploit,MFA,Technology
Zero-Day Exploit,Endpoint Detection,Healthcare
Brute Force,WAF,Healthcare
Zero-Day Exploit,Firewall,Government
SQL Injection,VPN,Manufacturing
Brute Force,WAF,Government
DDoS,WAF,Technology
Malware,Endpoint Detection,Retail
Brute Force,SIEM,Technology
SQL Injection,SIEM,Healthcare
Zero-Day Exploit,Antivirus,Government
DDoS,Endpoint Detection,Manufacturing
Cross-Site Scripting,Firewall,Government
Ransomware,Firewall,Healthcare
Ransomware,MFA,Technology
DDoS,IDS,Government
Phishing,Endpoint Detection,Government
Cross-Site Scripting,IDS,Healthcare
Brute Force,SIEM,Manufacturing
Brute Force,Firewall,Retail
Cross-Site Scripting,SIEM,Manufacturing
Phishing,Firewall,Education
Zero-Day Exploit,MFA,Education
Cross-Site Scripting,Antivirus,Healthcare
SQL Injection,Firewall,Healthcare
Malware,SIEM,Manufacturing
Phishing,Antivirus,Finance
Cross-Site Scripting,Firewall,Energy
Brute Force,Firewall,Technology
Malware,SIEM,Energy
SQL Injection,Endpoint Detection,Retail
SQL Injection,VPN,Finance
Brute Force,Endpoint Detection,Energy
Cross-Site Scripting,VPN,Education
Zero-Day Exploit,Antivirus,Energy
DDoS,Firewall,Manufacturing
Brute Force,VPN,Government
DDoS,Antivirus,Manufacturing
Ransomware,IDS,Retail
SQL Injection,SIEM,Manufacturing
Zero-Day Exploit,WAF,Government
SQL Injection,Endpoint Detection,Retail
Brute Force,VPN,Healthcare
Brute Force,Antivirus,Energy
Cross-Site Scripting,VPN,Energy
Phishing,WAF,Education
Ransomware,MFA,Technology
Brute Force,SIEM,Manufacturing
Malware,IDS,Manufacturing
Cross-Site Scripting,Firewall,Finance
Brute Force,SIEM,Manufacturing
SQL Injection,Antivirus,Manufacturing
Ransomware,VPN,Government
Ransomware,Antivirus,Energy
Brute Force,IDS,Healthcare
Ransomware,WAF,Healthcare
Phishing,SIEM,Energy
Ransomware,IDS,Retail
Ransomware,MFA,Retail
SQL Injection,Firewall,Education
Phishing,SIEM,Technology
DDoS,VPN,Retail
Cross-Site Scripting,IDS,Government
Phishing,Firewall,Manufacturing
Ransomware,VPN,Healthcare
DDoS,Antivirus,Finance
DDoS,SIEM,Finance
Cross-Site Scripting,IDS,Government
Brute Force,Antivirus,Government
Zero-Day Exploit,SIEM,Healthcare
SQL Injection,VPN,Healthcare
Malware,SIEM,Technology
Zero-Day Exploit,Firewall,Finance
Phishing,Endpoint Detection,Finance
DDoS,VPN,Retail
Phishing,Antivirus,Healthcare
Ransomware,Antivirus,Retail
Ransomware,SIEM,Energy
SQL Injection,Firewall,Finance
SQL Injection,Endpoint Detection,Education
Cross-Site Scripting,MFA,Education
Malware,WAF,Finance
Zero-Day Exploit,Firewall,Government
Brute Force,MFA,Retail
Phishing,IDS,Healthcare
Brute Force,Antivirus,Education
Brute Force,IDS,Healthcare
Phishing,VPN,Healthcare
Malware,Endpoint Detection,Government
Ransomware,WAF,Government
Phishing,MFA,Healthcare
Cross-Site Scripting,Antivirus,Energy
Malware,MFA,Education
SQL Injection,IDS,Retail
Cross-Site Scripting,Antivirus,Healthcare
SQL Injection,Antivirus,Technology
Zero-Day Exploit,IDS,Healthcare
Ransomware,Firewall,Education
Ransomware,Antivirus,Finance
Phishing,WAF,Government
Cross-Site Scripting,Firewall,Government
Brute Force,IDS,Education
Zero-Day Exploit,SIEM,Education
Cross-Site Scripting,Antivirus,Healthcare
Zero-Day Exploit,Antivirus,Government
SQL Injection,Firewall,Retail
Malware,SIEM,Energy
Zero-Day Exploit,Firewall,Energy
SQL Injection,WAF,Healthcare
Brute Force,MFA,Education
Cross-Site Scripting,VPN,Education
DDoS,Endpoint Detection,Government
DDoS,SIEM,Finance
DDoS,Firewall,Manufacturing
SQL Injection,WAF,Manufacturing
DDoS,Antivirus,Finance
Brute Force,SIEM,Government
Ransomware,Endpoint Detection,Government
Ransomware,Endpoint Detection,Finance
Zero-Day Exploit,SIEM,Finance
Phishing,MFA,Technology
Malware,IDS,Education
Brute Force,VPN,Energy
DDoS,VPN,Manufacturing
DDoS,Endpoint Detection,Energy
SQL Injection,Firewall,Technology
Brute Force,Antivirus,Education
Zero-Day Exploit,Antivirus,Energy
Ransomware,IDS,Retail
Cross-Site Scripting,IDS,Government
SQL Injection,VPN,Energy
SQL Injection,Endpoint Detection,Retail
Brute Force,IDS,Energy
Cross-Site Scripting,Firewall,Government
Phishing,Firewall,Retail
Malware,MFA,Energy
SQL Injection,SIEM,Education
Brute Force,SIEM,Retail
Cross-Site Scripting,WAF,Manufacturing
Phishing,VPN,Manufacturing
Phishing,Antivirus,Technology
Malware,IDS,Finance
Cross-Site Scripting,MFA,Healthcare
Ransomware,SIEM,Healthcare
Brute Force,Firewall,Healthcare
Cross-Site Scripting,WAF,Technology
Cross-Site Scripting,Firewall,Healthcare
SQL Injection,MFA,Government
Zero-Day Exploit,SIEM,Finance
DDoS,IDS,Retail
Cross-Site Scripting,MFA,Manufacturing
SQL Injection,Endpoint Detection,Finance
Cross-Site Scripting,Firewall,Healthcare
Brute Force,VPN,Education
Brute Force,MFA,Finance
Ransomware,SIEM,Energy
Zero-Day Exploit,VPN,Manufacturing
Cross-Site Scripting,SIEM,Government
Brute Force,Endpoint Detection,Healthcare
Malware,VPN,Retail
Brute Force,MFA,Retail
Phishing,IDS,Energy
Phishing,MFA,Retail
Zero-Day Exploit,VPN,Energy
Malware,SIEM,Retail
Phishing,Endpoint Detection,Retail
Cross-Site Scripting,IDS,Manufacturing
Phishing,WAF,Energy
Ransomware,MFA,Education
Cross-Site Scripting,SIEM,Education
Zero-Day Exploit,Antivirus,Education
Phishing,VPN,Energy
Ransomware,SIEM,Education
SQL Injection,WAF,Government
Phishing,Antivirus,Manufacturing
Cross-Site Scripting,Endpoint Detection,Healthcare
SQL Injection,IDS,Manufacturing
Zero-Day Exploit,VPN,Government
Malware,Endpoint Detection,Energy
SQL Injection,Antivirus,Finance
Phishing,IDS,Healthcare
Ransomware,Firewall,Government
SQL Injection,Antivirus,Healthcare
Ransomware,Endpoint Detection,Manufacturing
Zero-Day Exploit,VPN,Education
Cross-Site Scripting,IDS,Technology
Brute Force,Firewall,Government
Zero-Day Exploit,VPN,Healthcare
Malware,VPN,Government
Cross-Site Scripting,Endpoint Detection,Healthcare
Zero-Day Exploit,MFA,Government
Malware,VPN,Manufacturing
Phishing,VPN,Energy
Brute Force,Antivirus,Healthcare
SQL Injection,IDS,Technology
Ransomware,SIEM,Manufacturing
DDoS,Antivirus,Technology
SQL Injection,WAF,Education
Zero-Day Exploit,IDS,Retail
Phishing,Antivirus,Technology
Malware,VPN,Energy
Phishing,Antivirus,Energy
Zero-Day Exploit,IDS,Healthcare
SQL Injection,WAF,Government
Brute Force,MFA,Retail
DDoS,SIEM,Manufacturing
