s/n ,State,Year,Population,Totalcrime_count,Totalcrime_loss,Bec_count,Bec_loss,Romance_counts,Romance_loss,Creditcard_count,Creditcard_loss,Databreach_count,Databreach_loss,GovtImp_count,GovtImp_loss,Age<20_count,Age<20_loss,Age<29_count,Age<29_loss,Age<39_count,Age<39_loss,Age<49_count,Age<49_loss,Age<59_count,Age<59_loss,Age>60_count,Age>60_loss
1,Alabama,2021,"5,039,877 ","5,817 ","$48,694,000.00",204,"$17,473,175.00",259,"$6,552,331.00",622,"$1,577,664.00",640,"$592,869.00",113,"$816,878.00",187,"$805,901.00",687,"$2,105,073.00",879,"$5,021,257.00",899,"$12,733,589.00",834,"$5,994,288.00",985,"$14,157,578.00"
2,Alaska,2021,"732,673 ","1,865 ","$14,542,000.00",67,"$3,979,520.00",87,"$3,532,020.00",58,"$252,476.00",167,"$324,345.00",203,"$155,911.00",57,"$852,287.00",214,"$249,154.00",251,"$1,038,363.00",247,"$2,563,047.00",277,"$759,431.00",468,"$4,232,381.00"
3,Arizona,2021,"7,276,316 ","13,235 ","$136,747,000.00",388,"$22,742,716.00",653,"$18,827,346.00",390,"$3,100,451.00","1,147","$7,422,146.00",321,"$5,903,432.00",337,"$407,452.00","1,408","$5,819,476.00","2,885","$9,309,351.00","1,558","$30,977,783.00","1,564","$14,087,616.00","2,693","$44,538,021.00"
4,Arkansas,2021,"3,025,891 ","2,953 ","$17,158,000.00",95,"$7,197,367.00",153,"$1,220,454.00",93,"$294,796.00",352,"$967,972.00",74,"$170,090.00",100,"$685,188.00",328,"$1,786,170.00",451,"$1,712,560.00",518,"$1,185,908.00",347,"$1,685,742.00",604,"$4,276,168.00"
5,California,2021,"39,237,836 ","72,352 ","$1,389,362,000.00","3,017","$403,661,227.00","3,023","$183,928,230.00","2,455","$38,545,383.00","7,244","$86,298,197.00","1,347","$29,149,623.00","1,990","$14,877,363.00","9,359","$58,108,305.00","12,097","$195,665,023.00","12,554","$228,872,111.00","9,098","$201,939,148.00","10,913","$319,505,888.00"
6,Colorado,2021,"5,812,069 ","11,276 ","$140,671,000.00",429,"$45,387,132.00",445,"$24,492,897.00",292,"$1,935,416.00",896,"$5,239,969.00",258,"$1,379,340.00",275,"$6,179,765.00","1,097","$4,363,761.00","1,512","$13,790,432.00","1,670","$27,185,586.00","1,322","$27,141,920.00","3,220","$29,400,114.00"
7,Connecticut,2021,"3,605,597 ","4,913 ","$93,702,000.00",252,"$37,674,067.00",178,"$6,340,173.00",149,"$2,853,740.00",454,"$9,091,166.00",83,"$384,943.00",139,"$674,679.00",523,"$3,253,038.00",653,"$22,322,415.00",850,"$9,047,153.00",609,"$12,906,965.00",889,"$12,730,834.00"
8,Delaware,2021,"1,003,384 ","2,198 ","$17,793,000.00",61,"$5,537,181.00",62,"$2,568,048.00",53,"$1,521,628.00",158,"$821,367.00",32,"$37,200.00",39,"$28,006.00",190,"$345,809.00",203,"$2,094,165.00",193,"$863,660.00",214,"$2,557,094.00",344,"$5,769,966.00"
9,District of Columbia,2021,"670,050 ","2,229 ","$21,346,000.00",134,"$13,680,443.00",60,"$861,723.00",53,"$151,246.00",202,"$1,149,476.00",52,"$386,550.00",35,"$193,089.00",226,"$412,825.00",410,"$3,992,769.00",205,"$4,013,289.00",205,"$1,218,810.00",305,"$6,937,668.00"
10,Florida,2021,"21,781,128 ","48,865 ","$561,480.00","1,546","$192,901,464.00","1,738","$70,483,554.00","1,539","$16,784,459.00","4,132","$45,776,356.00",795,"$13,130,890.00","1,088","$9,488,139.00","4,511","$15,305,906.00","7,162","$53,984,012.00","9,090","$60,947,464.00","5,537","$117,049,086.00","8,136","$168,233,094.00"
11,Georgia,2021,"10,799,566 ","12,660 ","$160,173,000.00",463,"$64,043,668.00",500,"$13,771,534.00",359,"$3,312,955.00","1,275","$17,641,529.00",289,"$1,683,357.00",344,"$1,900,411.00","1,403","$4,021,074.00","1,805","$24,987,545.00","1,854","$30,855,991.00","1,697","$18,815,492.00","1,887","$25,753,434.00"
12,Hawaii,2021,"1,441,553 ","1,747 ","$20,448,000.00",82,"$5,024,406.00",91,"$4,193,665.00",48,"$540,009.00",202,"$1,070,727.00",59,"$190,568.00",44,"$25,108.00",197,"$457,072.00",245,"$3,490,084.00",253,"$1,242,516.00",211,"$2,006,825.00",408,"$10,061,508.00"
13,Idaho,2021,"1,900,923 ","2,021 ","$19,183,000.00",103,"$9,834,937.00",91,"$1,986,957.00",64,"$618,403.00",175,"$502,312.00",53,"$249,613.00",83,"$99,362.00",238,"$327,702.00",347,"$1,086,582.00",278,"$2,091,148.00",247,"$7,725,641.00",427,"$3,040,240.00"
14,Illinois,2021,"12,671,469 ","19,088 ","$208,784,000.00",690,"$86,247,797.00",591,"$19,785,612.00",428,"$2,953,531.00","1,466","$19,759,036.00",443,"$5,320,542.00",446,"$4,353,728.00","1,906","$14,329,241.00","2,423","$20,954,163.00","2,386","$21,480,336.00","3,195","$34,655,583.00","3,097","$42,109,664.00"
